Country,Density (P/Km2),Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Co2-Emissions,CPI,Fertility Rate,Forested Area (%),GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Population: Labor force participation (%),Tax revenue (%),Unemployment rate,Urban_population,Latitude,Longitude
Afghanistan,60,58.10%,"652,230","323,000",32.49,"8,672",149.9,4.47,2.10%,"$19,101,353,833 ",104.00%,9.70%,47.9,64.5,"38,041,754",48.90%,9.30%,11.12%,"9,797,273",33.93911,67.709953
Albania,105,43.10%,"28,748","9,000",11.78,"4,536",119.05,1.62,28.10%,"$15,278,077,447 ",107.00%,55.00%,7.8,78.5,"2,854,191",55.70%,18.60%,12.33%,"1,747,593",41.153332,20.168331
Algeria,18,17.40%,"2,381,741","317,000",24.28,"150,006",151.36,3.02,0.80%,"$169,988,236,398 ",109.90%,51.40%,20.1,76.7,"43,053,054",41.20%,37.20%,11.70%,"31,510,100",28.033886,1.659626
Andorra,164,40.00%,468,,7.2,469,,1.27,34.00%,"$3,154,057,987 ",106.40%,,2.7,,"77,142",,,,"67,873",42.506285,1.521801
Angola,26,47.50%,"1,246,700","117,000",40.73,"34,693",261.73,5.52,46.30%,"$94,635,415,870 ",113.50%,9.30%,51.6,60.8,"31,825,295",77.50%,9.20%,6.89%,"21,061,025",-11.202692,17.873887
Antigua and Barbuda,223,20.50%,443,0,15.33,557,113.81,1.99,22.30%,"$1,727,759,259 ",105.00%,24.80%,5.0,76.9,"97,118",,16.50%,,"23,800",17.060816,-61.796428
Argentina,17,54.30%,"2,780,400","105,000",17.02,"201,348",232.75,2.26,9.80%,"$449,663,446,954 ",109.70%,90.00%,8.8,76.5,"44,938,712",61.30%,10.10%,9.79%,"41,339,571",-38.416097,-63.616672
Armenia,104,58.90%,"29,743","49,000",13.99,"5,156",129.18,1.76,11.70%,"$13,672,802,158 ",92.70%,54.60%,11.0,74.9,"2,957,731",55.60%,20.90%,16.99%,"1,869,848",40.069099,45.038189
Australia,3,48.20%,"7,741,220","58,000",12.6,"375,908",119.8,1.74,16.30%,"$1,392,680,589,329 ",100.30%,113.10%,3.1,82.7,"25,766,605",65.50%,23.00%,5.27%,"21,844,756",-25.274398,133.775136
Austria,109,32.40%,"83,871","21,000",9.7,"61,448",118.06,1.47,46.90%,"$446,314,739,528 ",103.10%,85.10%,2.9,81.6,"8,877,067",60.70%,25.40%,4.67%,"5,194,416",47.516231,14.550072
Azerbaijan,123,57.70%,"86,600","82,000",14.0,"37,620",156.32,1.73,14.10%,"$39,207,000,000 ",99.70%,27.70%,19.2,72.9,"10,023,318",66.50%,13.00%,5.51%,"5,616,165",40.143105,47.576927
The Bahamas,39,1.40%,"13,880","1,000",13.97,"1,786",116.22,1.75,51.40%,"$12,827,000,000 ",81.40%,15.10%,8.3,73.8,"389,482",74.60%,14.80%,10.36%,"323,784",25.03428,-77.39628
Bahrain,"2,239",11.10%,765,"19,000",13.99,"31,694",117.59,1.99,0.80%,"$38,574,069,149 ",99.40%,50.50%,6.1,77.2,"1,501,635",73.40%,4.20%,0.71%,"1,467,109",26.0667,50.5577
Bangladesh,"1,265",70.60%,"148,460","221,000",18.18,"84,246",179.68,2.04,11.00%,"$302,571,254,131 ",116.50%,20.60%,25.1,72.3,"167,310,838",59.00%,8.80%,4.19%,"60,987,417",23.684994,90.356331
Barbados,668,23.30%,430,"1,000",10.65,"1,276",134.09,1.62,14.70%,"$5,209,000,000 ",99.40%,65.40%,11.3,79.1,"287,025",65.20%,27.50%,10.33%,"89,431",13.193887,-59.543198
Belarus,47,42.00%,"207,600","155,000",9.9,"58,280",,1.45,42.60%,"$63,080,457,023 ",100.50%,87.40%,2.6,74.2,"9,466,856",64.10%,14.70%,4.59%,"7,482,982",53.709807,27.953389
Belgium,383,44.60%,"30,528","32,000",10.3,"96,889",117.11,1.62,22.60%,"$529,606,710,418 ",103.90%,79.70%,2.9,81.6,"11,484,055",53.60%,24.00%,5.59%,"11,259,082",50.503887,4.469936
Belize,17,7.00%,"22,966","2,000",20.79,568,105.68,2.31,59.70%,"$1,879,613,600 ",111.70%,24.70%,11.2,74.5,"390,353",65.10%,26.30%,6.41%,"179,039",17.189877,-88.49765
Benin,108,33.30%,"112,622","12,000",36.22,"6,476",110.71,4.84,37.80%,"$14,390,709,095 ",122.00%,12.30%,60.5,61.5,"11,801,151",70.90%,10.80%,2.23%,"5,648,149",9.30769,2.315834
Bhutan,20,13.60%,"38,394","6,000",17.26,"1,261",167.18,1.98,72.50%,"$2,446,674,101 ",100.10%,15.60%,24.8,71.5,"727,145",66.70%,16.00%,2.34%,"317,538",27.514162,90.433601
Bolivia,11,34.80%,"1,098,581","71,000",21.75,"21,606",148.32,2.73,50.30%,"$40,895,322,865 ",98.20%,,21.8,71.2,"11,513,100",71.80%,17.00%,3.50%,"8,033,035",-16.290154,-63.588653
Bosnia and Herzegovina,64,43.10%,"51,197","11,000",8.11,"21,848",104.9,1.27,42.70%,"$20,047,848,435 ",,23.30%,5.0,77.3,"3,301,000",46.40%,20.40%,18.42%,"1,605,144",43.915886,17.679076
Botswana,4,45.60%,"581,730","9,000",24.82,"6,340",149.75,2.87,18.90%,"$18,340,510,789 ",103.20%,24.90%,30.0,69.3,"2,346,179",70.80%,19.50%,18.19%,"1,616,550",-22.328474,24.684866
Brazil,25,33.90%,"8,515,770","730,000",13.92,"462,299",167.4,1.73,58.90%,"$1,839,758,040,766 ",115.40%,51.30%,12.8,75.7,"212,559,417",63.90%,14.20%,12.08%,"183,241,641",-14.235004,-51.92528
Brunei,83,2.70%,"5,765","8,000",14.9,"7,664",99.03,1.85,72.10%,"$13,469,422,941 ",103.20%,31.40%,9.8,75.7,"433,285",64.70%,,9.12%,"337,711",4.535277,114.727669
Bulgaria,64,46.30%,"110,879","31,000",8.9,"41,708",114.42,1.56,35.40%,"$86,000,000,000 ",89.30%,71.00%,5.9,74.9,"6,975,761",55.40%,20.20%,4.34%,"5,256,027",42.733883,25.48583
Burkina Faso,76,44.20%,"274,200","11,000",37.93,"3,418",106.58,5.19,19.30%,"$15,745,810,235 ",96.10%,6.50%,49.0,61.2,"20,321,378",66.40%,15.00%,6.26%,"6,092,349",12.238333,-1.561593
Burundi,463,79.20%,"27,830","31,000",39.01,495,182.11,5.41,10.90%,"$3,012,334,882 ",121.40%,6.10%,41.0,61.2,"11,530,580",79.20%,13.60%,1.43%,"1,541,177",-3.373056,29.918886
Ivory Coast,83,64.80%,"322,463","27,000",35.74,"9,674",111.61,4.65,32.70%,"$58,792,205,642 ",99.80%,9.30%,59.4,57.4,"25,716,544",57.00%,11.80%,3.32%,"13,176,900",7.539989,-5.54708
Cape Verde,138,19.60%,"4,033","1,000",19.49,543,110.5,2.27,22.50%,"$1,981,845,741 ",104.00%,23.60%,16.7,72.8,"483,628",60.50%,20.10%,12.25%,"364,029",16.5388,-23.0418
Cambodia,95,30.90%,"181,035","191,000",22.46,"9,919",127.63,2.5,52.90%,"$27,089,389,787 ",107.40%,13.70%,24.0,69.6,"16,486,542",82.30%,17.10%,0.68%,"3,924,621",12.565679,104.990963
Cameroon,56,20.60%,"475,440","24,000",35.39,"8,291",118.65,4.57,39.30%,"$38,760,467,033 ",103.40%,12.80%,50.6,58.9,"25,876,380",76.10%,12.80%,3.38%,"14,741,256",7.369722,12.354722
Canada,4,6.90%,"9,984,670","72,000",10.1,"544,894",116.76,1.5,38.20%,"$1,736,425,629,520 ",100.90%,68.90%,4.3,81.9,"36,991,981",65.10%,12.80%,5.56%,"30,628,482",56.130366,-106.346771
Central African Republic,8,8.20%,"622,984","8,000",35.35,297,186.86,4.72,35.60%,"$2,220,307,369 ",102.00%,3.00%,84.5,52.8,"4,745,185",72.00%,8.60%,3.68%,"1,982,064",6.611111,20.939444
Chad,13,39.70%,"1,284,000","35,000",42.17,"1,016",117.7,5.75,3.80%,"$11,314,951,343 ",86.80%,3.30%,71.4,54.0,"15,946,876",70.70%,,1.89%,"3,712,273",15.454166,18.732207
Chile,26,21.20%,"756,096","122,000",12.43,"85,822",131.91,1.65,24.30%,"$282,318,159,745 ",101.40%,88.50%,6.2,80.0,"18,952,038",62.60%,18.20%,7.09%,"16,610,135",-35.675147,-71.542969
China,153,56.20%,"9,596,960","2,695,000",10.9,"9,893,038",125.08,1.69,22.40%,"$19,910,000,000,000 ",100.20%,50.60%,7.4,77.0,"1,397,715,000",68.00%,9.40%,4.32%,"842,933,962",35.86166,104.195397
Colombia,46,40.30%,"1,138,910","481,000",14.88,"97,814",140.95,1.81,52.70%,"$323,802,808,108 ",114.50%,55.30%,12.2,77.1,"50,339,443",68.80%,14.40%,9.71%,"40,827,302",4.570868,-74.297333
Comoros,467,71.50%,"2,235",,31.88,202,103.62,4.21,19.70%,"$1,185,728,677 ",99.50%,9.00%,51.3,64.1,"850,886",43.30%,,4.34%,"248,152",-11.6455,43.3333
Republic of the Congo,16,31.10%,"342,000","12,000",32.86,"3,282",124.74,4.43,65.40%,"$10,820,591,131 ",106.60%,12.70%,36.2,64.3,"5,380,508",69.40%,9.00%,9.47%,"3,625,010",-0.228021,15.827659
Costa Rica,100,34.50%,"51,100","10,000",13.97,"8,023",128.85,1.75,54.60%,"$61,773,944,174 ",113.30%,55.20%,7.6,80.1,"5,047,561",62.10%,13.60%,11.85%,"4,041,885",9.748917,-83.753428
Croatia,73,27.60%,"56,594","18,000",9.0,"17,488",109.82,1.47,34.40%,"$60,415,553,039 ",96.50%,67.90%,4.0,78.1,"4,067,500",51.20%,22.00%,6.93%,"2,328,318",45.1,15.2
Cuba,106,59.90%,"110,860","76,000",10.17,"28,284",,1.62,31.30%,"$100,023,000,000 ",101.90%,41.40%,3.7,78.7,"11,333,483",53.60%,,1.64%,"8,739,135",21.521757,-77.781167
