Country,Renewables (% equivalent primary energy)
Algeria,0.26136735
Argentina,11.329249
Australia,12.933532
Austria,37.481792
Azerbaijan,2.2015429
Bangladesh,0.6501469
Belarus,0.9698578
Belgium,9.336409
Brazil,46.21975
Bulgaria,11.486526
Canada,29.88844
Chile,26.518875
China,14.946244
Colombia,33.02041
Croatia,28.271935
Denmark,39.24958
Ecuador,32.3542
Egypt,6.230571
Estonia,14.325047
Finland,34.61129
France,13.671011
Germany,19.453121
Greece,19.391674
Hungary,6.819573
Iceland,86.874535
India,9.31085
Indonesia,10.385715
Iran,1.2903937
Iraq,1.502491
Israel,5.132294
Italy,18.36226
Japan,11.428995
Kazakhstan,3.988574
Latvia,23.917372
Lithuania,9.490351
Luxembourg,7.095166
Malaysia,8.059835
Mexico,10.514754
Morocco,7.6361694
Netherlands,12.3737955
New Zealand,40.21865
North Macedonia,14.82318
Norway,71.558365
Pakistan,10.622897
Peru,27.741009
Philippines,10.90163
Poland,7.7616863
Portugal,32.703953
Romania,17.481031
Russia,6.6202893
Slovakia,9.82116
Slovenia,18.768454
South Africa,3.408608
South Korea,3.7249858
Spain,22.341663
Sri Lanka,21.404533
Sweden,50.924007
Switzerland,36.716644
Thailand,7.113618
Trinidad and Tobago,0.007159467
Turkey,16.517044
Turkmenistan,0.007483229
Ukraine,6.1008415
United Kingdom,17.946543
United States,10.655991
Uzbekistan,2.6506786
Venezuela,28.434155
Vietnam,22.734407
