Country,medianage
Afghanistan,18.0
Albania,36.0
Algeria,29.0
Andorra,45.0
Antigua and Barbuda,34.0
Argentina,32.0
Armenia,35.0
Netherlands,41.0
Australia,38.0
Austria,43.0
Azerbaijan,32.0
Bahamas,32.0
Bahrain,32.0
Bangladesh,28.0
Barbados,40.0
Belarus,40.0
Belgium,42.0
Belize,24.0
Benin,19.0
Bhutan,28.0
Bolivia,26.0
Bosnia and Herzegovina,43.0
Brazil,33.0
Brunei,32.0
Bulgaria,45.0
Burkina Faso,18.0
Cabo Verde,27.6
Cambodia,26.0
Cameroon,19.0
Canada,41.0
Central African Republic,18.0
Chad,16.6
Chile,35.0
China,45.0
Colombia,31.0
Congo (Brazzaville),19.0
Congo (Kinshasa),17.0
Costa Rica,33.0
Cote d'Ivoire,19.0
Croatia,44.0
Cuba,42.0
Cyprus,37.0
Czechia,43.0
Denmark,42.0
Diamond Princess,62.0
Djibouti,27.0
Dominica,33.5
Dominican Republic,28.0
Ecuador,28.0
Egypt,25.0
El Salvador,27.6
Equatorial Guinea,22.0
Eritrea,19.2
Estonia,42.0
Eswatini,21.0
Ethiopia,19.0
Fiji,27.9
Finland,43.0
France,42.0
Gabon,23.0
Gambia,18.0
Georgia,38.0
Germany,46.0
Ghana,22.0
Greece,46.0
Grenada,32.0
US,31.0
Guatemala,23.0
Guernsey,44.0
Guinea,18.0
Guinea-Bissau,18.8
Guyana,27.0
Haiti,24.0
Holy See,40.0
Honduras,24.0
Hungary,43.0
Iceland,37.0
India,28.0
Indonesia,30.0
Iran,32.0
Iraq,21.0
Ireland,38.0
Israel,30.0
Italy,47.0
Jamaica,31.0
Japan,48.0
Jersey,38.0
Jordan,24.0
Kazakhstan,31.0
Kenya,20.0
"Korea, South",44.0
Kosovo,29.0
Kuwait,37.0
Kyrgyzstan,26.0
Laos,24.4
Latvia,44.0
Lebanon,30.0
Liberia,19.0
Libya,28.8
Liechtenstein,41.0
Lithuania,45.0
Luxembourg,40.0
Madagascar,19.6
Malaysia,30.0
Maldives,30.0
Mali,16.3
Malta,43.0
Mauritania,20.0
Mauritius,37.0
Mexico,29.0
Moldova,38.0
Monaco,54.0
Mongolia,28.0
Montenegro,39.0
Morocco,30.0
Mozambique,17.6
Namibia,22.0
Nepal,25.0
New Zealand,38.0
Nicaragua,26.5
Niger,15.2
Nigeria,18.0
North Macedonia,39.0
Norway,40.0
Oman,31.0
Pakistan,23.0
Panama,30.0
Paraguay,26.0
Peru,31.0
Philippines,26.0
Poland,42.0
Portugal,46.0
Qatar,32.0
Republic of the Congo,17.0
Romania,43.0
Russia,40.0
Rwanda,20.0
Saint Kitts and Nevis,34.8
Saint Lucia,34.0
Saint Vincent and the Grenadines,33.0
San Marino,47.0
Saudi Arabia,32.0
Senegal,19.0
Serbia,42.0
Seychelles,34.0
Singapore,42.0
Slovakia,41.0
Slovenia,45.0
Somalia,17.0
South Africa,28.0
Spain,45.0
Sri Lanka,34.0
Sudan,20.0
Suriname,29.0
Sweden,41.0
Switzerland,43.0
Syria,25.6
Taiwan*,42.0
Tanzania,18.0
Thailand,40.0
Timor-Leste,20.8
Togo,19.0
Trinidad and Tobago,36.0
Tunisia,33.0
Turkey,32.0
Uganda,16.7
Ukraine,41.0
United Arab Emirates,33.0
United Kingdom,40.0
Uruguay,36.0
Uzbekistan,28.0
Venezuela,30.0
Vietnam,32.0
Zambia,18.0
Zimbabwe,18.7
